Fallen,State Number
Found 123 Records,1
Found 23 Records,2
Found 1 Records,66
Found 151 Records,3
Found 91 Records,4
Found 744 Records,5
Found 103 Records,6
Found 49 Records,7
Found 18 Records,8
Found 8 Records,51
Found 6 Records,67
Found 353 Records,9
Found 216 Records,10
Found 2 Records,68
Found 41 Records,11
Found 48 Records,12
Found 251 Records,13
Found 150 Records,14
Found 73 Records,15
Found 77 Records,16
Found 110 Records,17
Found 124 Records,18
Found 48 Records,19
Found 1 Records,69
Found 124 Records,20
Found 124 Records,21
Found 229 Records,22
Found 99 Records,23
Found 76 Records,24
Found 29 Records,25
Found 153 Records,26
Found 20 Records,65
Found 61 Records,27
Found 56 Records,28
Found 40 Records,29
Found 124 Records,30
Found 56 Records,31
Found 303 Records,32
Found 191 Records,33
Found 21 Records,34
Found 8 Records,64
Found 282 Records,35
Found 125 Records,36
Found 110 Records,37
0,70
Found 292 Records,38
Found 52 Records,53
Found 19 Records,39
Found 96 Records,40
Found 26 Records,41
Found 139 Records,42
Found 608 Records,43
Found 8 Records,54
Found 47 Records,44
Found 24 Records,45
Found 205 Records,46
Found 153 Records,47
Found 39 Records,48
Found 123 Records,49
Found 22 Records,50
