id,created_at,text
827735749181181952,2017-02-04 04:29:15,RT @Notobolshevism: @realDonaldTrump I supported you and voted for you. Please don't get us in a goddam war your first freaking year.
827735270753783808,2017-02-04 04:27:21,"RT @ksrs28Shane: @realDonaldTrump How long can I keep defending the fact I honorably voted for you, Then see a Washington Judge tell you ho…"
827735143821488128,2017-02-04 04:26:51,RT @kjean026: @realDonaldTrump Pls tell me u did not ok removing records related to Animal Welfare. I voted for you. This will change my vo…
827735036275392512,2017-02-04 04:26:25,"RT @elle_n90: I'm petty and small-minded and vindictive enough that @Trump_Regrets is giving me vicious, bitter, malicious satisfaction. #I…"
827693237368397824,2017-02-04 01:40:20,RT @KhadafiBlue: @realDonaldTrump ok yall jumping on me because i voted for Trump bad mistake but some of yall did not even vote and that i…
827693197799342084,2017-02-04 01:40:10,RT @voiceofforex: I voted for trump but seriously I'm starting to get nervous. @realDonaldTrump # jobs #focus #presidential #growup https:/…
827691742006747137,2017-02-04 01:34:23,She knows how to prioritize 😉 https://t.co/Xz0ZKfWjs4
827690598756974592,2017-02-04 01:29:51,"@realDonaldTrump I have to say Donald, I love your insane ramblings. They keep me in business."
827680018079838212,2017-02-04 00:47:48,RT @robtee2106: @realDonaldTrump mr trump. it's  been only 2 weeks but feels like 2 yrs. please don't make me sorry I supported you.
827679869140082688,2017-02-04 00:47:13,"RT @visionary831: @realDonaldTrump  I supported you President Trump because you were the NO WARS Presidential Candidate so WHAT""S GOING ON…"
827679709710385152,2017-02-04 00:46:34,RT @Koraking: @realDonaldTrump stop acting like Hitler. I supported you all the way. But your actions are making me ashamed. The way U R do…
827679584929927168,2017-02-04 00:46:05,"RT @prasad_008007: DEAR @realDonaldTrump, Now you are BEHAVING like my GRANDMAA. I haven't expected this from U, because I believed in you…"
827679523953111040,2017-02-04 00:45:50,RT @tamraakanana: @realDonaldTrump are you serious? Your going to bring on world war 3 and want to blame it on others. Appalling to think I…
827658168683593728,2017-02-03 23:20:59,RT @malatesta_patti: @realDonaldTrump disturbing how immature our President acts. I voted for you please don't make me regret it. Maybe you…
827658035950665731,2017-02-03 23:20:27,RT @jooolze: @realDonaldTrump STOP!! Seriously!You are embarrasing  I am ashamed now that I voted for you I didn't know you were going to a…
827657945840226305,2017-02-03 23:20:06,RT @DianeHolsomback: @realDonaldTrump I am getting to the point that I am sorry I voted for you!
827657625647079426,2017-02-03 23:18:49,RT @bradjr: @realDonaldTrump I voted for you but what is wrong with you?...it maybe true.... but you sit in a different chair now.....
827657274105663488,2017-02-03 23:17:25,RT @marc_mlblits1: @realDonaldTrump I voted for you and now you have embarrassed us all and America! Act like a president &amp; businessman.
827656105161609216,2017-02-03 23:12:47,RT @ted_karman: @realDonaldTrump weak! Again used Obamas foreplanning to block what?  Not the nuclear deal. I voted for you and am disappoi…
827655966539862018,2017-02-03 23:12:14,RT @ammar_azez: @realDonaldTrump Mr. president i voted for you from US embassy in Iraq and now my wife can not enter to US with me
827421831544074240,2017-02-03 07:41:52,RT @nastynatebiller: @jodyavirgan I finally regret voting for him - took til this
827364936267489280,2017-02-03 03:55:47,RT @smoothdelicious: @PrisonPlanet @TheTruth_789 well why didn't trump ban muslims from Saudi Arabia? I wouldve supported it 100%. I regret…
827363942523600896,2017-02-03 03:51:50,RT @Becktul: I didnt think Trump would actually put a Muslim ban and thought it was for the Media... I regret voting for him and for not se…
827362815778365440,2017-02-03 03:47:21,"RT @6129985813r: @WCCO why ban innocent people? AM from south Sudan ,did WE attack America what so ever? I regret voting for you.Mr Trump.I"
827342957653192706,2017-02-03 02:28:27,"RT @AliNaji85: @realDonaldTrump as supporter, I'm losing faith in you. U wasting time by making unnecessary conflicts. U won so focus on Un…"
827328007324971008,2017-02-03 01:29:02,"RT @CraigMoyle1: @realDonaldTrump I voted for you, wish I didn't: you don't ban Saudi Arabia? They fund, teach and carry out 911? You are b…"
827327755075383305,2017-02-03 01:28:02,RT @nolenkell: Hey @POTUS @realDonaldTrump I fucking voted for you so unfuck urself and get the fuck off of social media. U r blowing it. S…
827295553579016193,2017-02-02 23:20:05,RT @ileana_828: @realDonaldTrump you make no sense to me.. Each day I slowly regret my vote.. I really thought you could change this countr…
827294880313573380,2017-02-02 23:17:24,RT @oscarmike442: @realDonaldTrump @samsung @axios I voted for you but Devos is a disgrace. A terrible choice for our kids. Your first yuge…
827246673529360384,2017-02-02 20:05:51,RT @followishti: @realDonaldTrump PLEASE STOP THIS MADNESS I SUPPORTED YOU FOR FUCKS SAKE! STOP KILLING THE ENVIRONMENT STOP THIS INSANE BA…
