Count of Location,
Row Labels,Total
"Akron, OH",1
"Alabama, USA",1
"Apple Valley, CA",1
"Arizona, USA",1
"Arlington, TN",1
"Atlanta, GA",2
"Bath, PA",1
"Bloomingdale, IL",1
"Bluff City, TN",1
"Boston, MA",2
"Caldwell, ID",1
"California, USA",2
"Carson City, NV",1
"Charlotte, NC",1
"Chicago, IL",4
"Cleveland, OH",2
"Colorado Springs, CO",2
"Colorado, USA",2
"Connecticut, USA",1
"Conshohocken, PA",1
"Culver City, CA",1
"Cumming, GA",1
"Dallas, TX",1
"Decatur, AL",1
"Delaware, USA",1
"Dix Hills, NY",1
"Florence, KY",1
"Florida, USA",4
"Garden City, NY",1
"Hell, MI",1
"Huntersville, NC",1
"Hunts Point, WA",1
"Illinois, USA",1
"Indiana, USA",4
"Iowa, USA",1
"Jeffersonville, IN",1
"Johnston, IA",1
"Kentucky, USA",3
"Knoxville, TN",1
"La Mesa, CA",1
"Long Beach, NY",1
"Los Angeles, CA",1
"Loxahatchee, FL",1
"Maryland, USA",1
"Mason City, IA",1
"Massachusetts, USA",2
"Massapequa Park, NY",1
"Miami, FL",1
"Michigan, USA",3
"Millbury, MA",1
"Minnesota, USA",1
"Mississippi, USA",1
"Murray, KY",1
"Nashville, TN",1
"Navarre, FL",1
"New Albany, IN",1
"New Hampshire, USA",1
"New Jersey, USA",2
"New Mexico, USA",1
"New Port Richey, FL",1
"New York, NY",6
"New York, USA",1
"Ohio, USA",1
"Oregon, USA",1
"Oslo, Norway",1
"Pennsylvania, USA",1
"Philadelphia, PA",1
"Pittsburgh, PA",2
"Portland, OR",1
"San Diego, CA",1
"Seattle, WA",1
"South Carolina, USA",2
"St Louis, MO",4
"Sunnyvale, CA",1
"Syracuse, NY",2
"Tampa, FL",1
"Texas, USA",5
"Triangle, VA",1
"Tucson, AZ",1
United Kingdom,1
United States,17
"Vero Beach, FL",1
"Virginia, USA",1
"Warminster Heights, PA",2
"Washington, DC",4
"Washington, USA",1
"Watertown, NY",1
"West Hollywood, CA",1
"Whitman, Philadelphia",1
"Wisconsin, USA",1
Grand Total,146
