Name,Lat,Lon
"Manhattan, NY",40.7830603,-73.9712488
"New York, NY",40.7127837,-74.0059413
"Staten Island, NY",40.5795317,-74.1502007
"Brooklyn, NY",40.6781784,-73.9441579
"Bronx, NY",40.8447819,-73.8648268
"Hoboken, NJ",40.7439905,-74.0323626
"Jersey City, NJ",40.72815749999999,-74.0776417
"Queens, NY",40.7282239,-73.7948516
"Middletown, NJ",40.3968012,-74.09159819999999
"Basking Ridge, NJ",40.7066174,-74.5493284
"Flushing, NY",40.7674987,-73.833079
"Alexandria, VA",38.8048355,-77.0469214
"Rockville Centre, NY",40.65871380000001,-73.6412406
"Yonkers, NY",40.9312099,-73.89874689999999
"Garden City, NY",40.7267682,-73.6342954
"Huntington, NY",40.8681539,-73.425676
"Manhasset, NY",40.7978787,-73.6995749
"Ridgewood, NJ",40.9792645,-74.11653129999999
"Bayonne, NJ",40.6687141,-74.1143091
"Bellmore, NY",40.6687125,-73.5270709
"Manalapan, NJ",40.2859203,-74.348582
"Valley Stream, NY",40.6642699,-73.70846449999999
"Bay Ridge, NY",40.6261638,-74.03294989999999
"Glen Rock, NJ",40.9628758,-74.1329207
"Greenwich, CT",41.0262417,-73.6281964
"Stamford, CT",41.0534302,-73.5387341
"Summit, NJ",40.7146376,-74.3646122
"Washington, DC",38.9071923,-77.0368707
"West Hempstead, NY",40.7048242,-73.65012949999999
"Bayside, NY",40.7585569,-73.7654367
"Chatham, NJ",40.740934,-74.3837624
"Edison, NJ",40.5187154,-74.4120953
"Jackson Heights, NY",40.7556818,-73.8830701
"Ridgewood, NY",40.7043986,-73.9018292
"East Brunswick, NJ",40.4316955,-74.4049778
"Los Angeles, CA",34.0522342,-118.2436849
"Matawan, NJ",40.41482999999999,-74.2295891
"Norwalk, CT",41.11774399999999,-73.4081575
"Oceanside, NY",40.6387141,-73.6401296
"Springfield, VA",38.7892801,-77.18720359999999
"Westfield, NJ",40.6589912,-74.3473717
"Woodbridge, VA",38.6581722,-77.2497049
"Wyckoff, NJ",41.0095316,-74.1729106
"Belle Harbor, NY",40.5754846,-73.8507279
"Clifton, NJ",40.8584328,-74.16375529999999
"Farmingdale, NY",40.7325997,-73.4454009
"Freehold, NJ",40.2136754,-74.3000878
"Glendale, NY",40.698994,-73.8804427
"Lynbrook, NY",40.6548253,-73.67179689999999
"Middle Village, NY",40.717372,-73.87425
"Monroe, NY",41.3046016,-74.1827119
"Morganville, NJ",40.33599239999999,-74.2911154
"New Hyde Park, NY",40.7351018,-73.6879082
"Princeton, NJ",40.3572976,-74.6672226
"Scarsdale, NY",41.0050977,-73.7845768
"Suffern, NY",41.1148179,-74.1495889
"Woodside, NY",40.7512123,-73.90364869999999
"Babylon, NY",40.6432284,-73.3472901
