Name,Lat,Lon
Beslan,43.19168579999999,44.5529385
Garissa,-0.4532293,39.6460988
Peshawar,34.0149748,71.5804899
"Bath Township,MI",42.8187367,-84.4485591
"Blacksburg,VA",37.2295733,-80.4139393
Ma'alot,33.015026,35.276017
"Newtown,CT",41.4141172,-73.3035651
Dunblane,56.183877,-3.967449
Erfurt,50.98476789999999,11.02988
"Austin,TX",30.267153,-97.7430608
Winnenden,48.8750046,9.397142299999999
"Montreal,QC",45.5016889,-73.567256
"Columbine,CO",39.5877657,-105.0694295
Baku,40.40926169999999,49.8670924
Rio de Janeiro,-22.9068467,-43.1728965
Shiguan,37.39766,114.255084
Volkhoven,51.0242631,6.8804988
Kauhajoki,62.43633319999999,22.1875413
Linchang,34.065236,-118.4466372
"Roseburg,OR",43.216505,-123.3417381
"Red Lake,MN",47.876346,-95.0169401
Ruzhou,34.167029,112.844517
"Ikeda, Osaka",34.8217051,135.4284439
Jerusalem,31.768319,35.21371
Nanping,26.641774,118.17771
Jokela,60.5526492,24.9663157
Kachin,25.850904,97.4381355
Meitian,31.0523076,121.3082799
"Oakland,CA",37.8043637,-122.2711137
Sham Shui Po,22.3285899,114.1602846
"Isla Vista,CA",34.4133292,-119.8609718
Sanaa,28.3543843,-81.60534969999999
Durvenitsa,42.6576505,23.363061
Kamyshin,50.0946344,45.3939821
"Stockton,CA",37.9577016,-121.2907796
"Houston,TX",29.7604267,-95.3698028
"DeKalb,IL",41.9294736,-88.75036469999999
Eppstein,50.14529599999999,8.3881459
"Jonesboro,AR",35.84229670000001,-90.704279
"Nickel Mines,PA",39.9592143,-76.0804172
Huaiji,23.92035,112.167742
"Mesa,AZ",33.4151843,-111.8314724
"Santa Monica,CA",34.0194543,-118.4911912
"Iowa City,IA",41.6611277,-91.5301683
San Juan,18.4655394,-66.1057355
Maradi,13.5009779,7.103639599999999
"Springfield,OR",44.0462362,-123.0220289
Bremen,53.07929619999999,8.8016936
Linwu,25.27556,112.563456
"Dendermonde,Belgium",51.025477,4.1019516
"Olivehurst,CA",39.0954484,-121.5521858
"Saskatoon,SK",52.1332144,-106.6700458
"Colorado Springs,CO",38.8338816,-104.8213634
"Monterrey,Nuevo Leon",25.6866142,-100.3161126
Suixi,21.377246,110.250123
"Chicago,IL",41.8781136,-87.6297982
Gongyi,34.747834,113.022496
"Marysville,WA",48.0517637,-122.1770818
Trollhattan,58.28348939999999,12.2858206
Gulbene,57.1714821,26.7522536
Toulouse,43.604652,1.444209
Kunming,24.880095,102.832891
Wilno,54.6871555,25.2796514
Zibo,36.813546,118.055019
Pingnan,23.539137,110.392149
"Olean,NY",42.083639,-78.42992699999999
"Pearl,MS",32.2745912,-90.13203109999999
Zamboanga City,6.9214424,122.0790267
Hubei,30.7378118,112.2384017
"West Paducah,KY",37.0831102,-88.7442202
"Carmen de Patagones,Buenos Aires Province",-40.7986389,-62.9803611
